"id","csrd_id","csrd_name","csrd_appendix_b","csrd_appendix_c_less_then_750","csrd_appendix_c_more_then_750","csrd_sheet_name","csrd_conditional_or_alternative_dp","csrd_data_type","csrd_dr","csrd_esrs","csrd_may_v","csrd_paragraph","csrd_related_ar"
"__export__.document_csrd_76_fc88ea7f","sbm-1_10","revenue from fossil fuel (coal, oil and gas) sector","","","","ESRS 2","conditional","monetary","sbm-1","esrs 2","","40 d i","ar 12-13"
"__export__.document_csrd_77_f90605a6","sbm-1_11","revenue from coal","","","","ESRS 2","conditional","monetary","sbm-1","esrs 2","","40 d i","ar 12-13"
"__export__.document_csrd_78_db8a8d6f","sbm-1_12","revenue from oil","","","","ESRS 2","conditional","monetary","sbm-1","esrs 2","","40 d i","ar 12-13"
"__export__.document_csrd_79_abbaa606","sbm-1_13","revenue from gas","","","","ESRS 2","conditional","monetary","sbm-1","esrs 2","","40 d i","ar 12-13"
"__export__.document_csrd_80_3aea0994","sbm-1_14","revenue from taxonomy-aligned economic activities related to fossil gas","","","","ESRS 2","conditional","monetary","sbm-1","esrs 2","","40 d i","ar 12-13"
"__export__.document_csrd_81_0e94c34b","sbm-1_15","undertaking is active in chemicals production","sfdr","","","ESRS 2","conditional","semi-narrative","sbm-1","esrs 2","","40 d ii","ar 12-13"
"__export__.document_csrd_82_bd78ea9a","sbm-1_16","revenue from chemicals production","sfdr","","","ESRS 2","conditional","monetary","sbm-1","esrs 2","","40 d ii","ar 12-13"
"__export__.document_csrd_83_57992654","sbm-1_17","undertaking is active in controversial weapons","sfdr","","","ESRS 2","conditional","semi-narrative","sbm-1","esrs 2","","40 d iii","ar 12-13"
"__export__.document_csrd_84_49dc88b6","sbm-1_18","revenue from controversial weapons","sfdr","","","ESRS 2","conditional","monetary","sbm-1","esrs 2","","40 d iii","ar 12-13"
"__export__.document_csrd_85_87437047","sbm-1_19","undertaking is active in cultivation and production of tobacco","sfdr","","","ESRS 2","conditional","semi-narrative","sbm-1","esrs 2","","40 d iv","ar 12-13"
"__export__.document_csrd_86_ea9b89fb","sbm-1_20","revenue from cultivation and production of tobacco","sfdr","","","ESRS 2","conditional","monetary","sbm-1","esrs 2","","40 d iv","ar 12-13"
"__export__.document_csrd_87_fd7b03a3","sbm-1_21","description of sustainability-related goals in terms of significant groups of products and services, customer categories, geographical areas and relationships with stakeholders","","","","ESRS 2","","narrative","sbm-1","esrs 2","","40 e","ar 12-13"
"__export__.document_csrd_88_893c7126","sbm-1_22","disclosure of assessment of current significant products and (or) services, and significant markets and customer groups, in relation to sustainability-related goals","","","","ESRS 2","","narrative","sbm-1","esrs 2","","40 f","ar 12-13"
"__export__.document_csrd_89_dadc7970","sbm-1_23","disclosure of elements of strategy that relate to or impact sustainability matters","","","","ESRS 2","","narrative","sbm-1","esrs 2","","40 g","ar 12-13"
"__export__.document_csrd_90_246eb677","sbm-1_24","list of esrs sectors that are significant for undertaking","","","","ESRS 2","conditional","semi-narrative","sbm-1","esrs 2","","41",""
"__export__.document_csrd_91_de696844","sbm-1_25","description of business model and value chain","","","","ESRS 2","","narrative","sbm-1","esrs 2","","42","ar 14"
"__export__.document_csrd_92_80da9948","sbm-1_26","description of inputs and approach to gathering, developing and securing inputs","","","","ESRS 2","","narrative","sbm-1","esrs 2","","42 a",""
"__export__.document_csrd_93_bbdef343","sbm-1_27","description of outputs and outcomes in terms of current and expected benefits for customers, investors and other stakeholders","","","","ESRS 2","","narrative","sbm-1","esrs 2","","42 b",""
"__export__.document_csrd_94_f1522d8b","sbm-1_28","description of main features of upstream and downstream value chain and undertakings position in value chain","","","","ESRS 2","","narrative","sbm-1","esrs 2","","42 c","ar 15"
"__export__.document_csrd_95_390648d8","sbm-2_01","description of stakeholder engagement","","","","ESRS 2","","narrative","sbm-2","esrs 2","","45 a","ar 16"
"__export__.document_csrd_96_657fde69","sbm-2_02","description of key stakeholders","","","","ESRS 2","","narrative","sbm-2","esrs 2","","45 a i","ar 16"
"__export__.document_csrd_97_e6a8ac23","sbm-2_03","description of categories of stakeholders for which engagement occurs","","","","ESRS 2","","narrative","sbm-2","esrs 2","","45 a ii","ar 16"
"__export__.document_csrd_98_abf2ef97","sbm-2_04","description of how stakeholder engagement is organised","","","","ESRS 2","","narrative","sbm-2","esrs 2","","45 a iii","ar 16"
"__export__.document_csrd_99_08b2c624","sbm-2_05","description of purpose of stakeholder engagement","","","","ESRS 2","","narrative","sbm-2","esrs 2","","45 a iv","ar 16"
"__export__.document_csrd_100_fec4ead4","sbm-2_06","description of how outcome of stakeholder engagement is taken into account","","","","ESRS 2","","narrative","sbm-2","esrs 2","","45 a v","ar 16"
"__export__.document_csrd_101_849409b8","sbm-2_07","description of understanding of interests and views of key stakeholders as they relate to undertaking's strategy and business model","","","","ESRS 2","","narrative","sbm-2","esrs 2","","45 b","ar 16"
"__export__.document_csrd_102_6966ff98","sbm-2_08","description of amendments to strategy and (or) business model","","","","ESRS 2","conditional","narrative","sbm-2","esrs 2","","45 c",""
"__export__.document_csrd_103_65dff30b","sbm-2_09","description of how strategy and (or) business model have been amended or are expected to be amended to address interests and views of stakeholders","","","","ESRS 2","conditional","narrative","sbm-2","esrs 2","","45 c i",""
"__export__.document_csrd_104_fe0070e3","sbm-2_10","description of any further steps that are being planned and in what timeline","","","","ESRS 2","conditional","narrative","sbm-2","esrs 2","","45 c ii",""
"__export__.document_csrd_105_89714bbe","sbm-2_11","further steps that are being planned are likely to modify relationship with and views of stakeholders","","","","ESRS 2","conditional","semi-narrative","sbm-2","esrs 2","","45 c iii",""
"__export__.document_csrd_106_dcb677a3","sbm-2_12","description of how administrative, management and supervisory bodies are informed about views and interests of affected stakeholders with regard to sustainability-related impacts","","","","ESRS 2","","narrative","sbm-2","esrs 2","","45 d",""
"__export__.document_csrd_107_74641012","sbm-3_01","description of material impacts resulting from materiality assessment","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 a","ar 17-18"
"__export__.document_csrd_108_f0387fb3","sbm-3_02","description of material risks and opportunities resulting from materiality assessment","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 a","ar 17-18"
"__export__.document_csrd_109_faf22b8f","sbm-3_03","disclosure of current and anticipated effects of material impacts, risks and opportunities on business model, value chain, strategy and decision-making, and how undertaking has responded or plans to respond to these effects","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 b","ar 18"
"__export__.document_csrd_110_3ade7fdf","sbm-3_04","disclosure of how material negative and positive impacts affect (or are likely to affect) people or environment","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 c i","ar 18"
"__export__.document_csrd_111_ef769641","sbm-3_05","disclosure of whether and how material impacts originate from or are connected to strategy and business model","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 c ii","ar 18"
"__export__.document_csrd_112_180e914d","sbm-3_06","disclosure of reasonably expected time horizons of material impacts","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 c iii","ar 18"
"__export__.document_csrd_113_d561873c","sbm-3_07","description of nature of activities or business relationships through which undertaking is involved with material impacts","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 c iv","ar 18"
"__export__.document_csrd_114_3efbc68b","sbm-3_08","disclosure of current financial effects of material risks and opportunities on financial position, financial performance and cash flows and material risks and opportunities for which there is significant risk of material adjustment within next annual reporting period to carrying amounts of assets and liabilities reported in related financial statements","","","","ESRS 2","","narrative/monetary","sbm-3","esrs 2","","48 d","ar 18"
"__export__.document_csrd_115_7c38770e","sbm-3_09","disclosure of anticipated financial effects of material risks and opportunities on financial position, financial performance and cash flows over short-, medium- and long-term","","","1 year","ESRS 2","","narrative/monetary","sbm-3","esrs 2","","48 e","ar 18"
"__export__.document_csrd_116_91abade2","sbm-3_10","information about resilience of strategy and business model regarding capacity to address material impacts and risks and to take advantage of material opportunities","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 f","ar 18"
"__export__.document_csrd_117_d4df4b3b","sbm-3_11","disclosure of changes to material impacts, risks and opportunities compared to previous reporting period","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 g","ar 18"
"__export__.document_csrd_118_97fd0017","sbm-3_12","disclosure of specification of impacts, risks and opportunities that are covered by esrs disclosure requirements as opposed to those covered by additional entity-specific disclosures","","","","ESRS 2","","narrative","sbm-3","esrs 2","","48 h","ar 18"
"__export__.document_csrd_119_27bda0d6","iro-1_01","description of methodologies and assumptions applied in process to identify impacts, risks and opportunities","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 a",""
"__export__.document_csrd_120_541de6fe","iro-1_02","description of process to identify, assess, prioritise and monitor potential and actual impacts on people and environment, informed by due diligence process","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 b",""
"__export__.document_csrd_121_37d5c61e","iro-1_03","description of how process focuses on specific activities, business relationships, geographies or other factors that give rise to heightened risk of adverse impacts","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 b i",""
"__export__.document_csrd_122_4c4bf8fe","iro-1_04","description of how process considers impacts with which undertaking is involved through own operations or as result of business relationships","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 b ii",""
"__export__.document_csrd_123_8dd908a9","iro-1_05","description of how process includes consultation with affected stakeholders to understand how they may be impacted and with external experts","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 b iii",""
"__export__.document_csrd_124_f9195399","iro-1_06","description of how process prioritises negative impacts based on their relative severity and likelihood and positive impacts based on their relative scale, scope and likelihood and determines which sustainability matters are material for reporting purposes","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 b iv",""
"__export__.document_csrd_125_42be69ea","iro-1_07","description of process used to identify, assess, prioritise and monitor risks and opportunities that have or may have financial effects","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 c",""
"__export__.document_csrd_126_7bd81f3d","iro-1_08","description of how connections of impacts and dependencies with risks and opportunities that may arise from those impacts and dependencies have been considered","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 c i",""
"__export__.document_csrd_127_06df40c4","iro-1_09","description of how likelihood, magnitude, and nature of effects of identified risks and opportunities have been assessed","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 c ii",""
"__export__.document_csrd_128_5b90cf73","iro-1_10","description of how sustainability-related risks relative to other types of risks have been prioritised","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 c iii",""
"__export__.document_csrd_129_929a496d","iro-1_11","description of decision-making process and related internal control procedures","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 d",""
"__export__.document_csrd_130_afc5d3dc","iro-1_12","description of extent to which and how process to identify, assess and manage impacts and risks is integrated into overall risk management process and used to evaluate overall risk profile and risk management processes","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 e",""
"__export__.document_csrd_131_3bd2c2fc","iro-1_13","description of extent to which and how process to identify, assess and manage opportunities is integrated into overall management process","","","","ESRS 2","conditional","narrative","iro-1","esrs 2","","53 f",""
"__export__.document_csrd_132_502192e5","iro-1_14","description of input parameters used in process to identify, assess and manage material impacts, risks and opportunities","","","","ESRS 2","","narrative/numerical","iro-1","esrs 2","","53 g",""
"__export__.document_csrd_133_b44c1c95","iro-1_15","description of how process to identify, assess and manage impacts, risks and opportunities has changed compared to prior reporting period","","","","ESRS 2","","narrative","iro-1","esrs 2","","53 h",""
"__export__.document_csrd_134_1963a6d8","iro-2_01","disclosure of list of data points that derive from other eu legislation and information on their location in sustainability statement","","","","ESRS 2","","semi-narrative","iro-2","esrs 2","","56",""
"__export__.document_csrd_135_114879af","iro-2_02","disclosure of list of esrs disclosure requirements complied with in preparing sustainability statement following outcome of materiality assessment","","","","ESRS 2","","semi-narrative","iro-2","esrs 2","","56","ar 19"
"__export__.document_csrd_136_0f33e6b8","iro-2_03","explanation of negative materiality assessment for esrs e1 climate change","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","","57",""
"__export__.document_csrd_137_cb0e6ca7","iro-2_04","explanation of negative materiality assessment for esrs e2 pollution","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_138_38ad55ff","iro-2_05","explanation of negative materiality assessment for esrs e3 water and marine resources","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_139_3ef1987f","iro-2_06","explanation of negative materiality assessment for esrs e4 biodiversity and ecosystems","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_140_f17905a8","iro-2_07","explanation of negative materiality assessment for esrs e5 circular economy","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_141_12308c07","iro-2_08","explanation of negative materiality assessment for esrs s1 own workforce","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_142_9be85d7e","iro-2_09","explanation of negative materiality assessment for esrs s2 workers in value chain","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_143_45ae4a02","iro-2_10","explanation of negative materiality assessment for esrs s3 affected communities","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_144_44d4e83f","iro-2_11","explanation of negative materiality assessment for esrs s4 consumers and end-users","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_145_7366fcc7","iro-2_12","explanation of negative materiality assessment for esrs g1 business conduct","","","","ESRS 2","conditional","narrative","iro-2","esrs 2","v","58",""
"__export__.document_csrd_146_d7537f05","iro-2_13","explanation of how material information to be disclosed in relation to material impacts, risks and opportunities has been determined","","","","ESRS 2","","narrative","iro-2","esrs 2","","59",""
